OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k,Nat_5c_corridors,Nat_5c_corridors_truncated_at_200k
1,1,1,175348,175221,67301,109601,112097,154505,175348,175221,67301,109601,154505,112097,110493,110493
2,1,1,188590,83537,75220,130297,131929,187207,188590,83537,75220,130297,187207,131929,83537,83537
3,1,2,207602,171829,1925,37611,239990,373900,,171829,1925,37611,,,106452,106452
4,1,1,82591,10702,4625,39718,26114,67280,82591,10702,4625,39718,67280,26114,10702,10702
5,1,1,108443,108527,522,5607,62229,185536,108443,108527,522,5607,185536,62229,53274,53274
6,1,8,154095,100999,45388,82229,94511,163915,154095,100999,45388,82229,163915,94511,100999,100999
7,1,1,93273,93273,17832,48955,47118,88151,93273,93273,17832,48955,88151,47118,46390,46390
8,1,1,183138,183138,22887,64043,146343,261630,183138,183138,22887,64043,,146343,23502,23502
9,1,9,125398,107543,34345,59535,59186,148601,125398,107543,34345,59535,148601,59186,107543,107543
10,1,8,223072,224143,100916,158935,147160,194654,,,100916,158935,194654,147160,131803,131803
11,1,1,52197,16093,746,12447,2015,46347,52197,16093,746,12447,46347,2015,16093,16093
12,1,7,281284,136276,60788,108779,277100,360579,,136276,60788,108779,,,136276,136276
13,1,2,2008,2008,2008,4629,2008,2008,2008,2008,2008,4629,2008,2008,2008,2008
14,1,1,163446,162912,39756,99538,90289,151761,163446,162912,39756,99538,151761,90289,58670,58670
15,1,8,66798,66669,13120,27727,24236,70076,66798,66669,13120,27727,70076,24236,39873,39873
16,1,1,186813,162477,332,17257,205480,341533,186813,162477,332,17257,,,75882,75882
17,1,1,65340,38377,2721,6754,9029,84246,65340,38377,2721,6754,84246,9029,38377,38377
